Type,Operator,Registration
de Havilland Canada DHC-8-301,Lufthansa Cityline,D-BEAT
Hawker Siddeley HS-748-234,Bouraq Indonesia Airlines,PK-IHE
Embraer 110P1 Bandeirante,Titan Airways,G-ZAPE
Douglas C-47A,Central Mountain Air Services,C-FAAM
Nord 262A-44,Trans Service Airlift,9Q-CJK
Shorts SC-7 Skyvan 3-100,Pan Malaysian Air Transport,9M-PID
Tupolev TU-154M / Sukhoi Su-24,Iran Air Tours  /  Military - Iranian Air Force,EP-ITD
Mil Mi-8,Military - Afghan Republican Air Force,
Convair CV-440,Cargo Three Panama,HP-1200CTH
Dornier 228-201,Formosa Airlines,B-12238
Fokker 100,Palair Macedonian,PH-KXL
Beechcraft 58,Air Taxi - Guinn Flying Service,N4320W
Beech Super King Air 200,West Aviation,LN-TSA
Embraer EMB-110 Bandeirante,Oeste Linhas Aereas,PP-SBJ
Boeing B-747-466,Japan Air Lines,N47EV
Fairchild SA227-TT,Private,N500AK
Aerospatiale SA316B,Air Taxi - Sea PacifiInc.,N3153R
McDonnell Douglas DC-9-15,Linea Aeropostal Venezolana,YV-03C
McDonnell Douglas MD-11,China Eastern Airlines,B-2171
Mitsubishi MU-2B-60,Private,N86SD
Antonov AN-26B,MIAT - Mongolian Airlines,BHMAY-14102
Boeing B-737-2A8,Indian Airlines,VT-ECQ
Antonov AN-32,Military - Afghan Republican Air Force,
de Havilland  Canada  DHC-5D Buffalo,Military - Zambian Air Force,AF-319
Beechcraft C99,GP Express Airlines,N115GP
Britten-Norman BN-2A-6 Islander,Fiji Air,DQ-FEO
Douglas DC-6BF,Carga del Caribe,XA-SEA
Boeing B-727-46,SAM Colombia,HK-2422X
de Havilland Canada DHC-6 Twin Otter 300,Aerotaca,HK-2759X
Cessna 404 Titan,Sasco Air Lines,ST-AID
Britten-Norman  BN-2A-20 Trislander,Southwest Air,P2-SWA
de Havilland Canada DHC-6 Twin Otter 300,Merpati Nasantara Airlines,PK-NUL
Antonov AN-26,Tajikistan Airlines,RA-26035
Fokker F-28 Fellowship 3000,Merpati Nusantara Airlines,PK-GFU
Mil Mi-8,Military - Georgian Air Force,
Cessna 402C,Hyannis Air Service - Air Taxi,N818AN
Helicopter, Hughes 369HS,Private,N9116F
British Aerospace 146-300,China Northwest Airlines,B-2716
Boeing B-737-5L9,Asiana Airlines,HL-7229
Shorts SC-7 Skyvan 3-100,Hornbill Airways,9M-AXM
Dornier Do-228-101,Everest Air,9N-ACL
Beechcraft C-90,Air Taxi - Air Medical Leasing,N90BP
McDonnell Douglas DC-8-61,American International Airways,N814CK
Let 410UVP-E,Sakha Airlines,RA-67656
Yakovlev YAK-40,Tajikistan Airlines,CCCP-87995
Airbus A320-211,Lufthansa,D-AIPN
Tupolev TU-134A,Transair Georgia Airlines,CCCP-65893
Tupolev TU-154B,Transair Georgia Airlines,CCCP-85163
Tupolev 134A,Transair Georgia Airlines,CCCP-65001
Mil Mi-8 (helicopter),Military - Georgian Air Force,
GAF Nomad N-22,Hibiscus Air,ZK-NOM
McDonnell Douglas MD-82,China Eastern Airlines,B-2103
de Havilland Canada DHC-6 Twin Otter 300,Wideroe's Flyveselksap,LN-BNM
Cessna 421B Golden Eagle,Roadrunner Airlines,N41010
Hawker Siddeley HS-748-234 Srs. 2A,Air Manitoba,C-GQTH
McDonnell Douglas MD-82,China Northern Airlines,B-2141
Antonov AN-124,Magistralnye Avialinii,RA-82071
Yakovlev YAK-42D,Aviaimpex (Macedonia),RA-42390
Beech Queen Air Model 80,Aerovias de Guatemala SA,TG-ACP
British Aerospace Jetstream BA-3100,Express Airlines - Northwest Airlink,N334PX
Britten Norman BN-2A Trislander7,ArctiWings & Rotors,C-GMOP
DHC-6 Twin Otter 300 / NAMC YS-11,Air Senegal / Gambia Airways,6V-ADE / C5-GAA
Yunshuji Y-12-II,Lao Aviation,RDPL-34117
Lockheed C-130H,Military - Philippine Air Force,4761
Israel Aircraft Industries 1124A,Air Taxi - Martin Aviation LP,N309CK
Antonov AN-26,Kuban Airlines,CCCP-26141
Tupolev TU-154M,Baikal Air,RA-85656
Rockwell Turbo Commander 690B,Seaview Aviation,VH-SVQ
Beechcraft King Air B90,Kimura International,N230TW
British Aerospace Jetstream 4101,AtlantiCoast Airlines (United Express),N304UE
Learjet 24D,Scibe Airlift Cargo Zaire,9Q-CBC
Antonov AN-12V,North Western Air Transport,RA-11118
Yakovlev YAK-40,Expresso A̩reo,OB-1559
Vickers 813 Viscount,British World Airways,G-OHOT
McDonnell Douglas MD-82,Continental Airlines,N18835
Boeing 737-2R4C,Sahara,VT-SIA
Swearingen SA.226AT Merlin IV,Jetcraft,VH-SWP
Lockheed C-130H Hercules,Military - U.S. Air Force,69-6576
Lockheed Hercules C-130,Military - Iranian Air Force,2418393
Douglas DC-3C,Salair,N3433Y
Grumman G-73T Turbo Mallard,Chalk's International Airlines,N150FB
Britten-Norman BN-2A-21 Trislander,Aurukun Air Services,VH-JUU
Cessna 650 Citation VI,Orion - Air Taxi,PT-OMV
Boeing Vertol Chinook HC-2 (helicopter),Military - Royal Air Force,ZD576
Airbus A310-304,Aeroflot Russian International Airways,F-OGQS
GD F-16D / Lockheed C-130E,Military - U.S. Air Force / Military U.S. Air Force,88-0171/6810942
Bell 206B3,Air Taxi - El Aero Services Inc.,N27736
Saab 340B,KLM Cityhopper,PH-KSH
de Havilland Canada DHC-6 Twin Otter 300,TAME,FAE450
Dassault Falcon 50,Rwanda Government,9XR-NN
Sikorsky UH-60 / Sikorsky UH-60,Military - U.S. Army / Military U.S. Army,8726000/8826060
Britten Norman BN-2A-21 Trislander,Dirgantara Air Services,PK-ZAA
Airbus A300B4-622R,China Airlines (Taiwan),B-1816
Piper PA-31-350 Navajo,Action Airlines,N990RA
Cessna 208 Caravan I,Lineas Aereas de los Libertadores,HK-3479
Embraer 110 Bandeirante,Rico Taxi Aero,PT-GJW
Pilatus Britten-Norman BN-2B-27 Islander,Arall,HK-2890
Douglas DC-3 (C-53D-DO),Transoriente Colombia,HK-2213
de Havilland DHC-2,Air Taxi - Uyak Air Services Inc.,N126UA
Tupolev TU-154M,China Northwest Airlines,B-2610
Swearingen SA.226TC Metro II,Aerolineas Cuahonte,XA-SLU
Learjet 25D,TAESA,XA-BBA
Fokker F-27 Friendship 500F,Merpati Nusantara Airlines,PK-MFI
de Havilland DHC-3,Air Taxi - Sun Western Flyers Inc.,N13GA
Fokker F-27 Friendship 400M,Air Ivorie,TU-TIP
Antonov AN-32,Military - Dostum-Galboddin Militia,
Airbus A330-321,Airbus Industrie,F-WWKH
Fokker F-28 Fellowship 4000,Air Mauritanie,5T-CLF
McDonnell Douglas DC-9-30,USAir,N954VJ
Piper PA-32-301,Air Taxi - Peninsula Airways,N8297X
Aerospatiale AS350D,Air Taxi - Papillion Helicopters Ltd.,N151BH
Britten-Norman BN-2B-26 Islander,Air Martinique,8P-TAD
Yakovlev 40D,Sankuru Air Service,RA-87256
Embraer 110P1 Bandeirante,Alas Chiricanas,HP-1202AC
Sikorsky S-58ET,Airfast Services,PK-OBT
Antonov AN-12,Military - Russian Air Force,
Airbus A300B4-622R,Korean Airlines,HL-7296
de Havilland DHC-2,Air Taxi - Talon Air Services Inc.,N17394
Bell 206L-4,Air Taxi - National Helicopters,N124NH
Piper PA-32-260,Air Taxi - Lake Clark Air Inc.,N4839S
Aerospatiale ATR-42-300,Royal Air Maroc,CN-CDT
Boeing B-737-3B7,USAir,N513AU
de Havilland Canada DHC-6 Twin Otter 300,Aerocontroctors - Charter,5N-ATQ
de Havilland Canada DHC-6 Twin Otter 100,PacifiCoastal Airlines,C-FDMR
BAC One-Eleven 515FB,Oriental Airlines,5N-IMO
Lockheed L-100-30 Hercules,Heavylift Cargo Airlines,PK-PLV
Yakovlev YAK-40,Cheremshanka Airlines,RA-87468
Douglas C-47D,TAM Paraguay,FAP2009
Rockwell 1121B Jet Commander,Radeair,LV-WEN
Antonov AN-8,Arsenyev Aviation Production Association,RA-27209
Douglas DC-3,SL Aviation Services,N96BF
Antonov AN-32B,SELVA,HK3929X
Fokker F-28 Fellowship 1000,Iran Asseman Airlines,EP-PAV
Lockheed C-130E,Military - Brazilian Air Force,C-130-2460
Mil Mi-8MTV (helicopter),Military - Angolan Air Force,H534
Antonov AN-2,Yakutavia,RA-33008
Antonov AN-12BP,Aeronica,RA-11790
ATR-72-212,American Eagle,N401AM
Bell 212,Transportes Aereos Pegaso,XA-SVS
de Havilland Canada DHC-6 Twin Otter 100,Trigana Air Service,PK-YNM
Yakovlev YAK-40,SA Amazonica,OB-1569
Beechcraft C99,Ameriflight,N63995
Britten Norman BN-2A Trislander,Southwest Air,P2-SWC
McDonnell Douglas DC-9-82 / Cessna 441,Trans World Airlines / Private,N954U/N411KM
Mil Mi-17 (helicopter),Military - Angolan Air Force,H584
Boeing B-747-200,Philippine Air Lines,EI-BWF
Cessna 402C,Air Taxi - Ryan Air Service,N1238K
British Aerospace Jetstream 3201,American Eagle,N918AE
Douglas C-47A-10-DK,Servivensa,YV-761C
de Havilland Canada DHC-6 Twin Otter 200,Missionary Aviation Fellowship,P2-MFS
Boeing 737-2D6C,Phoenix Aviation,7T-VEE
Airbus A300B2-1C,Air France,F-GBEC
Boeing B-737-4Y0,Turkish Airlines (THY),TC-JES
Lockheed 1329 Jetstar 8,Military - Iranian Air Force,1003
de Havilland Canada DHC-6 Twin Otter 300,Merpati Nusantara Airlines,PK-NUK
McDonnell Douglas DC-9-14,Intercontinental de Aviacion,HK-3839X
Cessna 208B Caravan I Super Cargomaster,Empire Airlines,N746FE
Learjet 35,Canada Jet Charters,C-GPUN
Cessna 208B Caravan I Super Cargomaster,West Air,N754FE
Cessna 172N,Air Taxi - Coastal Airways Inc.,N1535E
Bell 206B,Air Taxi - Wolfe Air Aviation Ltd.,N2209P
de Havilland Canada DHC-6 Twin Otter 300,Royal Nepal Airlines,9N-ABI
Let 410UVP,Abakan Airlines,RA-67120
Dassault Falcon 20E,Leadair - Charter,F-GHLN
Aerospatiale ATR-72,Transasia Airways,B-22717
Piper PA-31-350 Navajo,Las Vegas Airlines,N27245
McDonnell Douglas DC-8-63F,ATI,N782AL
Antonov 26B,Aeroflot,RA-26084
Cessna 208B Caravan I Super Cargomaster,Union Flights,N9417B
Beech Queen Air B80,Kiwi West Aviation,ZK-TIK
Airbus A310-324,Transporturile Aeriene Romane (TAROM),YR-LCC
Learjet C-21A,Military - U.S. Air Force,84-0136
de Havilland Canada DHC-6 Twin Otter 300,Bristow Helicopters,5N-AJQ
Pel Air,IAI 1124 Westwind,VH-AJS
Hawker Siddeley HS-748-357/2B SCD,Military - Sri Lanka Air Force,4R-HVA
Swear. SA-227CC Metro 23/Piper Navajo,Bearskin Airlines / Air Sandy,C-GYYB/ C-GYPZ
Grumman Gulfstream II,American Jet,N409MA
Curtiss C-46F,ADES Colombia,HK-3079G
Lockheed C-130E Hercules,Military - U.S. Air Force,62-1838
Embraer 110 P1 Bandeirante,Knight Air,G-OEAA
Douglas DC-3C,LACOL,HK-3213
Piper PA-31-310 Navajo,Senegalair,6V-AGH
McDonnell Douglas DC-9-32,ValuJet,N908VJ
de Havilland Canada DHC-8-102,Ansett New Zealand,ZK-NEY
Antonov 2R,Volga Air,CCCP-68142
Antonov AN-2,Aeroflot,RA-07743
CASA 212-200 Aviocar,Military - Angolan Air Force,T401
Tupolev TU-134A,Harka Air Services,RA-65617
Convair CV-440,Salair,N356SA
Piper PA-32-301,Air Taxi - Island Air Service,N8385G
de Havilland Canada C-7A Caribou,Garamut Aviation,P2-VTC
Piper PA-32R-300,Air Taxi - Lab Flying Service Inc.,N6281J
de Havilland Canada DHC-6 Twin Otter 300,Milne Bay Air,P2-MBI
de Havilland Canada DHC-6 Twin Otter 300,Merpati Nusantara Airlines,PK-NUT
Douglas C-47A,Military - Madagascar Air Force,5R-MMG
Britten-Norman BN-2A Islander,Transniugini Airways,P2-TNT
Antonov An-2R,Aero Air,RA-05708
Boeing B-737-2H6,Aviateca,N125GU
Hawker Siddeley HS-748 2A,Bourag Indonesia Airlines,PK-KHL
Embraer 110P1 Bandeirante,AIRES Colombia,HK-2594
Embraer 120-RT Brasilia,AtlantiSoutheast Airlines,N256AS
Shorts SC-7 Skyvan,North Star Air Cargo,N30GA
British Aerospace Nimrod MR-2P,Military - Royal Air Force,XV239
Cessna 421C Golden Eagle,Adventure Airlines,N6234G
CASA 212 Aviocar 200,SAETA,FAC1152
Antonov AN-26B,Ariana Afghan Airlines,YA-BAO
Antonov AN-32,Military - Sri Lanka Air Force,CR861
Cessna 402B,Bimini Air Charter Inc.,N69303
Fokker 50,Malaysia Airlines,9M-MGH
Swearingen SA.227AC Metro III,Tamair,VH-NEJ
Antonov AN-24RV,MIAT - Mongolian Airlines,BNMAU-10103
Boeing B-707 (E-3B),Military - U.S. Air Force,77-0354
Mil Mi-8T,Norilsk Flight Company,RA-24553
De Havilland Dash-3,Western Straits Air,C-FEBX
CASA 212,Sabang Merauke Raya Air Charter,PK-ZAG
Mil Mi-8MTV-1,Kirghizia Aba Zaoldoru,EX-25179
Cessna 172RG,Air Taxi - Durango Air Service,N4834V
Britten-Norman BN-2A Trislander,Islands Nationair,
Cessna 208B Caravan,TACSA,XA-SVM
Fokker F-27 Friendship 500,Military - Argentine Air Force,TC-72
Boeing B-737-2F9,Nigeria Airways,5N-AUA
Antonov AN-32,Military - Sri Lanka Air Force,CR862
Bell 412 (helicopter),Sabah Air,9M-AYW
Boeing 707-323C,Azerbaijan Airlines,4K-401
Boeing B-737-2K9,Cameroon Airlines,TJ-CBE
Tupolev TU-134B-3,Azerbaijani Airlines,4K-65703
Tupolev TU-154B,Far East Aviation,RA-85164
Beechcraft 1900D,Air St. Martin,F-OHRK
Antonov AN-24B,Romanian Banat Air,YR-AMR
Lockheed L-188C Electra,Trans Service Airlift,9Q-CRR
Boeing B-757-223,American Airlines,N651A
Britten Norman BN-2A-21 Trislander,Island Airways,P2-NAM
Mil Mi-8T (helicopter),Akhal Air,EZ-22684
Antonov AN-32B,African Air,RA-26222
Britten-Norman BN-2A-27 Islander,Mustique Airways,J8-VAK
Hawker Siddeley HS-748,Military - Nigerian Air Force,5N-AXO
Mil Mi-17 (helicopter),Military - Sri Lanka Air Force,CH-587
Cessna 208 Caravan I,Soundsair,ZK-SFA
McDonnell Douglas DC-8-55F,Lineas Aereas del Caribe,HK-3979X
ConvairCV-440,Business Air Connection,N131T
Boeing B-757-225,Alas Nacionales, leased from Birgen Air,TC-GEN
Cessna 500 Citation,A̩rotaxi Cachanilla,XA-SLQ
,Military - Taliban Militia,
GAF Nomad N-24A,Hati Express,N224E
de Havilland Canada DHC-6 Twin Otter 300,AVCOM,TG-JAK
Cessna 550 Citation,Private Wings,D-CASH
Lockheed C-130H,Military - Sudanese Air Force,
Antonov 12BP,Aero Tropical,ER-ACE
Boeing B-737-222,Compania de Aviacion Faucett SA (Peru),OB-1451
Gates Learjet 25D,Madrid Taxi A̩reo - Charter,PT-LSD
Mil Mi-17,Military - Peruvian Army Aviation,EP561
Cessna 402,Avia Air Aruba,P4-AVB
Cessna U206G,Key West Sea Plane Service - Air Taxi,N9983Z
Boeing B-737-T43,Military - U.S. Air Force,73-1149
Ilyushin IL-76TD,Krasnoyarskie Avialinii,RA-76752
Dornier 228-212,Formosa Airlines,B-12257
Cessna 177B,Private,N35207
Antonov AN-24,Federal Airlines,ST-FAG
de Havilland Canada DHC-3 Otter,Buffalo Narrows Airways,C-GDOB
de Havilland Canada DHC-6 Twin Otter 200,Aeroservicios Empresariales de Durango,XA-SWJ
Britten Norman BN-2A-20 Trislander,Milne Bay Air,P2-ISD
McDonnell Douglas DC-9-32,ValuJet,N904VJ
Britten-Norman BN-2A-26 Islander,Loganair,G-BEDZ
Ilyushin 76MD,Hoseba,UR-76539
Boeing 727-286,Iran Air,EP-IRU
Sikorsky S-70 / Sikorsky S-70,Military - Australian Army Aviation,A25-113/A25-209
McDonnell Douglas DC-10-30,Garuda Indonesia Airlines,PK-GIE
Harbin Yunshuji Y-12-II,China Flying Dragon Aviation (Feilong Airlines),B-3822
McDonnell Douglas MD-88,Delta Air Lines,N927DA
de Havilland Canada DHC-6 Twin Otter 300,Milne Bay Air,P2-MBB
Let 410,Archana Airlines,VT-ETC
Lockheed C-130H,Military - Belgian Air Force,CH-06
Boeing B-747-131,Trans World Airlines,N93119
de Havilland Canada DHC-6 Twin Otter 300,Aerolatino (Aerocaribe),XA-TCF
Douglas DC-6A,Northern Air Cargo,N313RS
Fokker F-27 Friendship 600,Myanmar Airways,XY-AET
de Havilland Canada DHC-6 Twin Otter 300,First Air,C-GNDN
Douglas DC-4,Air North,C-FGNI
Lockheed C-130H Hercules,Military - U.S. Air Force,74-1662
de Havilland Canada DHC-3 Turbo Otter,Harbour Air,C-GCMY
Ilyushin IL-76T,Spair Air Transport,RA-76513
Tupolev TU-154M,Vnokovo Airlines,RA-85621
Embraer EMB-110 Bandeirante,Helisul Taxi A̩reo,PT-WAV
Cessna 206G,Air Taxi - Stearns Air Alaska,N7312C
Douglas DC-3C,Dutch Dakota Association,PH-DDA
Boeing B-757-200,Aeroperu,N52AW
de Havilland Canada DHC-6 Twin Otter 200,Malu Aviation,9Q-CXK
Antonov 12B,Savanair,RA-11101
Antonov An-124,Aeroflot,RA-82069
de Havilland DHC-2,Air Taxi - Seaside Air Service,N64276
Piper PA-31-350 Navajo Chieftain,Telford Aviation,N744W
Boeing B-707-323C,Million Air,N751MA
Yakovlev YAK-40,Tyumen Aviatrans,RA-88527
Fokker 100,TAM (Brazil),PT-MRK
Embraer 110P1 Bandeirante,Transported Areos Profesionales - TAPSA,TG-TPA
Cessna 421C Golden Eagle,Jetcom S.A.,HB-LRX
Antonov AN-12B,ALADA,D2-FVG
Boeing B-727-231,Aviation Development Corporation,5N-BBF
Boeing B-747-168B / Ilyushin IL-76TD,Saudi Arabian Airlines / Kazastan Airlines,HZAIH/UN-76435
Piper PA-31-350 Navajo,Kismayo Airlines,
Antonov AN-2,Komi Avia,RA-40309
Beechcraft 1900-C / Beech King Air A90,United Express  / Private,N87GL / N1127D
Lockheed HC-130P Hercules,Military - U.S. Air Force,64-14856
Boeing B-767-200ER,Ethiopian Airlines,ET-AIZ
Cessna 208B Caravan I,ArctiTransportation Services,N4704B
Ilyushin IL-76MD,Military - Russian Air Force,RA-76804
de Havilland Canada DHC-6 Twin Otter 300,ACES Colombia,HK-2602
CASA 212 Aviocar 100,Dirgantara Air Services,PK-VSO
Douglas C-47A,Emery Worldwide,N75142
Antonov AN-12,Military - Russian Air Force,
Antonov An-32B,SELVA,HK-4008X
McDonnell Douglas DC-8-63F,Airborne Express,N827AX
Hindustan Aeronautics 748-2,Military - Indian Air Force,H1032
Learjet 35A,Aircraft Charter Group Inc,N388LS
Cessna 208B Grand Caravan,Tar Heel Aviation,N802TH
de Havilland Canada DHC-6 Twin Otter 300,Polynesian Airlines,5W-FAU
Embraer 120RT Brasilia,Comair,N265CA
de Havilland Canada DHC-4A Caribou,Southcentral Air,N702SC
Embraer 110P1A Bandeirante,Skypower Express Airways,5N-AXS
Hawker Siddeley HS-748-353 Srs.2a,Air Senegal,6AV-AEO
CASA 212 Aviocar 200,Force Area Populaire de Angola,T-400
Sikorsky CH53D / Sikorsky CH53D,Military - Israel Air Force /Military -  Israel Air Force,357 / 903
Boeing B-737-2C3,Varig,PP-CJO
IAI 1124 Westwind,Transpolar,YV-160CP
Cessna 208B Super Cargomaster,Air Georgian,C-FESJ
Cessna 500 Citation I,Air Pereira,HK-3885
Lockheed C-130HF,Military - Iranian Air Force,
Antonov AN-24RV,Stavropol Airlines,RA-46516
Lockheed C-130H Hercules,Military - U.S. Air Force,88-4408
Aviation Traders ATL-98 Carvair,Custom Air Service,N83FA
Cessna 208B Caravan I,Hageland Aviation Services,N408GV
Fokker F-27 Friendship 600,TAAG Angola Airlines,D2-TFP
Yakovlev 40,Azerbaijan Airlines,4K-87504
Lockheed C-130H Hercules,Military - Niger Air Force,5U-MBD
British Aerospace ATP,Merpati Nusantara Airlines,PK-MTX
Antonov AN-26,Military - Afghan Republican Air Force,
Boeing B-737-31B,China Southern Airlines,B-2925
Vickers Viscount 781D,Bazair,9Q-CWL
Harbin Yunshuji Y-12 II,MIAT - Mongolian Airlines,JU-1020
Fokker F-27 Friendship 200,Elbee Airlines,VT-SSA
de Havilland DHC-2,Air Taxi,N5164G
Mil Mi-17 (helicopter),Military - Colombian Army,
Fokker 100,TAM (Brazil),PT-WHK
Antonov AN-24,Cubana de Aviacion,CU-T1262
Piper PA-32,Haines Airways - Air Taxi,N15199
Fokker F-27 Friendship 600,Sempati Air,PK-YPM
de Havilland Canada DHC-6 Twin Otter 300,Goroka Air Services,P2-MMU
Learjet 31,Singapore Airlines,9V-ATD
BAC One-Eleven 203AE,ADC Airlines,5N-BAA
Aerospatiale ATR-42-512,Air Littoral,F-GPYE
Boeing B-747-300,Korean Airlines,HL-7468
McDonnell Douglas DC-8-61F,Fine Air,N27UA
Dornier DO-228-212,Formosa Airlines,B-12256
Cessna 180K,Private,C-GIGK
Cessna 210,Air taxi,VH-PJQ
Cessna 550 Citation II,Air taxi - TAM,PT-LML
Pilatus PC-6 Turbo Porter / Cessna 206,SATENA,FAC1115
Tupolev TU-134,Vietnam Airlines,VN-A120
Dornier 228-212,Borneo Airways,9M-MIA
de Havilland Canada DHC-6 Twin Otter 300,TMK Air Commuter,9Q-CBO
Tupolev TU-154M / C-141 Starlifter,Military - Luftwaffe / Military - USAF,1102/65-9405
Airbus A300-B4-200,Garuda Indonesia Airlines,PK-GAI
Cessna 208B Caravan I,SceniAirlines,N12022
Beech Super King Air 200,Naysa Aerotaxis,EC-ERQ
McDonnell Douglas DC-9-32,Austral Lineas Aeras (Argentina),LV-WEG
Lockheed C-130H Hercules,Military - Republiof China Air Force,1310
Rutan Long EZ (experimental aircraft),Private,N555JD
Yakovlev YAK-40,Ariana Afghan Airlines,YA-KAE
Cessna 206 Seneca,,C-GPRL
Cessna 208B Caravan I,Hageland Aviation Services,N750GC
Antonov AN-124-100,Military - Russian Air Force,RA-82005/08
Embraer 110P1 Bandeirante,Sowind Air,C-GVRO
Swearingen SA-226T Metro II,STAP,CP-1635
Tupolev TU-154,Tajikistan Airlines,EY-85281
Cessna 402C,Terry Air Inc.,C-GKWV
Yakovlev YAK-42,Aerosweet Airlines (LVOV),UR-42334
Boeing B-737-300,SilkAir,9V-TRF
Lockheed C-130H Hercules,Military - Greek Air Force,750
Antonov An-72,Renan Airways,ER-ACF
Boeing B-747-122,United Air Lines,N4723U
Britten Norman BN-2A Trislander,Parsa,HP-986PS
Cessna 208B Caravan I,Mountain Air Cargo,N913FE
Antonov AN-12BP,Ariana Afghan Airlines,YA-DAB
Let 410UVP,Aeroservice International,YV-928CP
Fokker F-27 Friendship 600,Myanmar Airways,XY-AES
McDonnell Douglas DC-9-32,Cebu PacifiAir,RP-C1507
Grummand EA-6B,Military - U.S. Marine Corps,163045/CY-02
Antonov 12BP,Air Luxor,LZ-SFG
CASA 212-S1 Aviocar 100,Military - Spanish Air Force,D-3B-9
Antonov AN-32,Military - Sudan Air Force,
Airbus A300-622R,China Airlines (Taiwan),B-1814
Cessna 208B Caravan I Super Cargomaster,Baron Aviation,N840FE
Cessna 208B Caravan I Super Cargomaster,Corporate Air,N868FE
Boeing 707-336C,Air Memphis,SU-PBA
Saab340B,Formosa Airlines,B-12255
Boeing B-727-228,Ariana Afghan Airlines,YA-FAZ
Airbus A.320-214,Philippine Air Lines,RP-C3222
Antonov AN-32,Fuerza A̩rea del Peru,OB-1388
Convair CV-240-53,Linea A̩rea Mexicana de Carga,XA-TAP
Boeing B-727-230,Air France,HC-BSU
Boeing B-737-282,Fuerza A̩rea del Peru,FAP-351
Xian Yunshuji Y-7-100C,Military - Mauritanian Air Force,5T-MAG
Yakovlev YAK-40,Military - Lao People's Liberation Army Air Force,34001
Bell 206L-3,Air Taxi - US Helicopters Inc.,N96CW
Harbin Yunshuji Y-12 II,MIAT - Mongolian Airlines,JU-1017
Swearingen SA-226TC Metroliner II,Propair,C-GQAL
Eurocopter AS-350-BA,Air Taxi - Ohana Helicopter Tours,N594BK
Ilyushin 76MD,ATI Aircompany,UR-76424
Rockwell Sabreliner 60,Alas del Sur,LV-WPO
Ilyushin II-76,Ukraine Aviation Transport Company,UR-UCI
Shorts SC-7 Skyvan 3-100,Military - Mexican Air Force,XC-UTQ
Consolidated PBY-5A Catalina,Plane Sailing,VP-BPS
Swearingen SA.227AC Metro III,Swifair,EC-FXD
Embraer 110 Bandeirante,Selva Taxi Aero,PT-LGN
Dornier 228-201,Alliance Airlines,VT-EJW
Dornier 328-110,Minerva Airlines,D-CPRR
Beechcraft 1900D / Cessna 177,Proteus Air / Private,F-GSJM/F-GAJE
de Havilland Dash-2 Beaver,Harbour Air Seaplanes Ltd.,C-FOCJ
Antonov An-12BP,Alada,D2-FAZ
Cessna 402C,Vincent Aviation,ZK-VAC
de Havilland Canada DHC-6 Twin Otter 300,Lumbini Airways,9N-ACC
Cessna 402C,Air Anguilla,N2748J
DC-3-65TP,Speed Service Couriers,ZS-NKK
Fokker F-27 Friendship 600,Myanmar Airways,XY-AEN
Tupolev TU-154M,Cubana de Aviacion,CU-T1264
Antonov AN-26,Permaviatrans,RA-26028
McDonnell Douglas MD-11,Swissair,HB-IWF
de Havilland Dash-2 float plane,Rusts Flying Service Inc.,N1433Z
Lockheed C-130B Hercules,Military - Pakistan Air Force,24143
Antonov 12B,Savanair,TN-AFR
CASA 212-MP Aviocar 200,Military - Tentara Nasional Indonesia Navy,U-614
Cessna 177B Cardinal,Air taxi - Air Safaris Inc.,ZK-DKL
British Aerospace BAe-146-100,Paukn Air,EC-GEO
de Havilland Canada DHC-6 Twin Otter 300,Cabo Verde Airlines,D4-CAX
Antonov AN-24RV,Lionair,EW-46465
Douglas DC-3C,Servivensa,YV-611C
Boeing B-727-30,Congo Airline,9Q-CSG
Yakovlev YAK-40,Ararat Avia,EK-88272
Embraer 120RT Brasilia,Capital Taxi Aereo,PT-WKH
Britten-Norman BN-2A-3 Islander,TanaMana Aviation,5Y-ANV
Douglas DC-3C,Living Water Teaching Ministries Charter,N3FY
Antonov AN-12,Sakha Airlines,RA-12955
Cessna 207 Skywagon,Paradise Air,RP-C606
Burgess RV-6 experimental,Private,N956DB
Cessna 208B Caravan I Super Cargomaster,Regency Express Air,N9352B
,,
Cessna 501 Citation I SP,Yates Aviation,N501EZ
Britten-Norman Trislander,Air Satellite,C-FCVK
Fokker F-27 Friendship 600,Myanmar Airways,XY-AEO
Airbus A-310-204,Thai Airways,HS-TIA
Antonov AN-12BP,Khors Aircompany,UR-11319
Antonov 12,Zanex,S9-SAT
Antonov 32B,SELVA,HK-3930X
Lockheed Martin L-100-30 Hercules,Transafrik,S9-CAO
Lockheed L-100-30 Hercules,Transafrik - United Nations Charter,D2-EHD
Fokker F-27 Friendship 600,Channel Express,G-CHNL
Boeing KC-135E,Military - German Air National Guard,59-1452
Douglas DC-3C,Kelowna Flightcraft Air Charter,C-GWUG
Britten Norman BN-2A-26,Uzu Air,VH-XFF
Cessna 208 Caravan I,Necon Air,9N-ADA
Antonov AN-26,Fuerza A̩rea Nicaragua,
Antonov AN-12,Savannair,EL-ASS
Britten Norman BN-2A Trislander,Airlink,P2-ALH
Lockheed L-188A Electra,Air Karibu,9Q-CDI
Beechcraft C99,Ameriflight,N205RA
Tupolev TU-154,China Southwest Airlines,B-2622
Antonov AN-32 Transport,Military - Indian Air Force,K2673
Douglas DC-3C (C-47A-DK),ALIANSA Colombia,HK-337
de Havilland Canada DHC-6 Twin Otter 300,Provincial Airlines,C-FWLQ
